epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1467.8,1.15841,1.09355,1.25555,0.72021,0.6167,0.68628,0.44034,1.3462,1.23665,1.39302,0.000393803,0.000393803,0.000393803
43,1502.72,1.15717,1.08522,1.25963,0.76633,0.61399,0.70245,0.45442,1.33026,1.19791,1.38239,0.00038714,0.00038714,0.00038714
44,1537.59,1.15061,1.06502,1.25248,0.75591,0.62992,0.70667,0.45238,1.34231,1.18717,1.39066,0.000380477,0.000380477,0.000380477
45,1572.21,1.15079,1.06147,1.25291,0.75037,0.63861,0.71277,0.45795,1.33808,1.19218,1.38496,0.000373813,0.000373813,0.000373813
46,1611.79,1.14037,1.0537,1.2411,0.76733,0.61559,0.70762,0.45285,1.33998,1.16703,1.38659,0.00036715,0.00036715,0.00036715
47,1647.15,1.14168,1.04106,1.24884,0.74008,0.64176,0.70922,0.45335,1.34826,1.19843,1.39864,0.000360487,0.000360487,0.000360487
48,1681.95,1.12988,1.03303,1.23554,0.715,0.64164,0.7086,0.45828,1.3347,1.18704,1.38537,0.000353823,0.000353823,0.000353823
49,1716.7,1.12999,1.02629,1.23725,0.72762,0.6452,0.70905,0.45384,1.33095,1.17824,1.37886,0.00034716,0.00034716,0.00034716
50,1751.33,1.12572,1.01799,1.23713,0.7371,0.63636,0.70872,0.45594,1.32768,1.18156,1.38422,0.000340497,0.000340497,0.000340497
51,1786.15,1.11684,1.00797,1.22657,0.75401,0.64966,0.71641,0.46003,1.34483,1.15995,1.3921,0.000333833,0.000333833,0.000333833
52,1820.75,1.11825,0.99537,1.22165,0.76942,0.63419,0.71256,0.45681,1.34674,1.17006,1.387,0.00032717,0.00032717,0.00032717
53,1855.47,1.11746,0.99523,1.2253,0.74063,0.63787,0.70821,0.46127,1.32515,1.16671,1.36857,0.000320507,0.000320507,0.000320507
54,1890.36,1.1008,0.97638,1.21224,0.74745,0.64507,0.7151,0.46086,1.34157,1.16511,1.38584,0.000313844,0.000313844,0.000313844
55,1925.32,1.11768,0.9869,1.22061,0.75675,0.66249,0.72673,0.46808,1.34044,1.14069,1.38367,0.00030718,0.00030718,0.00030718
56,1960.04,1.10279,0.97794,1.21491,0.75108,0.64164,0.72073,0.46767,1.33912,1.16014,1.39328,0.000300517,0.000300517,0.000300517
57,1994.87,1.09157,0.96061,1.2113,0.72977,0.66065,0.71638,0.46339,1.33186,1.18415,1.3852,0.000293854,0.000293854,0.000293854
58,2029.75,1.08323,0.94981,1.20153,0.76814,0.64607,0.72274,0.47042,1.33672,1.15529,1.38373,0.00028719,0.00028719,0.00028719
59,2064.38,1.08818,0.95249,1.2067,0.73537,0.65716,0.72141,0.46584,1.33579,1.15766,1.38257,0.000280527,0.000280527,0.000280527
60,2098.94,1.07697,0.93409,1.19969,0.76292,0.63574,0.72015,0.46601,1.34215,1.17831,1.39042,0.000273864,0.000273864,0.000273864
61,2133.6,1.07498,0.93839,1.20011,0.75277,0.66167,0.72845,0.47081,1.33543,1.15171,1.3862,0.0002672,0.0002672,0.0002672
62,2168.6,1.07856,0.92344,1.19851,0.78244,0.63428,0.72226,0.46826,1.33059,1.16467,1.38623,0.000260537,0.000260537,0.000260537
63,2203.37,1.0789,0.92834,1.19733,0.75948,0.64735,0.72601,0.47189,1.33535,1.1526,1.39048,0.000253874,0.000253874,0.000253874
64,2238.53,1.0684,0.91189,1.19301,0.77029,0.64809,0.72713,0.47322,1.33631,1.15123,1.39007,0.00024721,0.00024721,0.00024721
65,2273.46,1.06109,0.91343,1.18887,0.7813,0.64311,0.72793,0.46694,1.34096,1.16241,1.39272,0.000240547,0.000240547,0.000240547
66,2308.23,1.06389,0.91712,1.18537,0.7637,0.65111,0.72121,0.47055,1.32767,1.1496,1.37394,0.000233884,0.000233884,0.000233884
67,2343.06,1.05093,0.89982,1.18005,0.76048,0.64506,0.72358,0.46652,1.33599,1.15309,1.38498,0.00022722,0.00022722,0.00022722
68,2377.82,1.06554,0.89976,1.18643,0.74884,0.65224,0.71935,0.4666,1.32684,1.17276,1.38636,0.000220557,0.000220557,0.000220557
69,2412.73,1.05529,0.89035,1.18004,0.77716,0.64095,0.72273,0.47088,1.33567,1.14821,1.38005,0.000213894,0.000213894,0.000213894
70,2447.59,1.04328,0.88425,1.17605,0.80239,0.61591,0.7213,0.47344,1.33333,1.16082,1.38883,0.00020723,0.00020723,0.00020723
71,2482.57,1.0428,0.87638,1.17412,0.76366,0.63507,0.72168,0.47356,1.33121,1.15562,1.3774,0.000200567,0.000200567,0.000200567
72,2517.25,1.04276,0.86908,1.17318,0.77123,0.64863,0.72187,0.47135,1.33125,1.15783,1.38575,0.000193904,0.000193904,0.000193904
73,2551.93,1.03138,0.86045,1.16954,0.76757,0.64526,0.72004,0.4713,1.32364,1.15451,1.37449,0.00018724,0.00018724,0.00018724
74,2586.77,1.03402,0.8568,1.16811,0.76494,0.66213,0.7254,0.47068,1.33047,1.15252,1.38284,0.000180577,0.000180577,0.000180577
